strategy,run,pid,condition,whichrobot,timesec,success,expTime,c4flag,matfile
1,7,1870,3,0,147,0,154.28,1,../../simdata-nr=3/alpha_t/TotalDist/00007/1870/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,1870,4,3,84.5,1,16.458,1,../../simdata-nr=3/alpha_t/TotalDist/00007/1870/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,7667,1,0,210.5,0,205.14,0,../../simdata-nr=3/alpha_t/TotalDist/00007/7667/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,7667,2,0,67,0,61.519,0,../../simdata-nr=3/alpha_t/TotalDist/00007/7667/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,7667,3,0,148,0,142.57,0,../../simdata-nr=3/alpha_t/TotalDist/00007/7667/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,7,7667,4,2,9.5,1,40.524,0,../../simdata-nr=3/alpha_t/TotalDist/00007/7667/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,2241,1,3,124,1,229.69,0,../../simdata-nr=3/alpha_t/TotalDist/00008/2241/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,2241,2,3,13,1,43.006,0,../../simdata-nr=3/alpha_t/TotalDist/00008/2241/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,2241,3,2,25.5,1,66.821,0,../../simdata-nr=3/alpha_t/TotalDist/00008/2241/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,2241,4,0,26.5,0,18.399,0,../../simdata-nr=3/alpha_t/TotalDist/00008/2241/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,2652,1,2,27,1,318.52,1,../../simdata-nr=3/alpha_t/TotalDist/00008/2652/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,2652,2,0,23,0,30.292,1,../../simdata-nr=3/alpha_t/TotalDist/00008/2652/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,2652,3,0,159,0,153.93,1,../../simdata-nr=3/alpha_t/TotalDist/00008/2652/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,2652,4,0,130.5,0,5.48,1,../../simdata-nr=3/alpha_t/TotalDist/00008/2652/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,7194,1,2,102,1,111.81,0,../../simdata-nr=3/alpha_t/TotalDist/00008/7194/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,7194,2,0,57.5,0,52.19,0,../../simdata-nr=3/alpha_t/TotalDist/00008/7194/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,7194,3,0,76,0,70.545,0,../../simdata-nr=3/alpha_t/TotalDist/00008/7194/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,8,7194,4,0,45.5,0,35.919,0,../../simdata-nr=3/alpha_t/TotalDist/00008/7194/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,1181,1,0,150.5,0,145.7,0,../../simdata-nr=3/alpha_t/TotalDist/00009/1181/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,1181,2,0,67,0,61.832,0,../../simdata-nr=3/alpha_t/TotalDist/00009/1181/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,1181,3,3,10,1,78.593,0,../../simdata-nr=3/alpha_t/TotalDist/00009/1181/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,1181,4,0,40,0,30.482,0,../../simdata-nr=3/alpha_t/TotalDist/00009/1181/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,5834,1,0,197,0,191.51,1,../../simdata-nr=3/alpha_t/TotalDist/00009/5834/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,5834,2,3,23,1,63.765,1,../../simdata-nr=3/alpha_t/TotalDist/00009/5834/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,5834,3,2,18.5,1,83.388,1,../../simdata-nr=3/alpha_t/TotalDist/00009/5834/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,5834,4,0,157.5,0,47.019,1,../../simdata-nr=3/alpha_t/TotalDist/00009/5834/condition_4/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,8004,1,3,20.5,1,162.52,1,../../simdata-nr=3/alpha_t/TotalDist/00009/8004/condition_1/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,8004,2,0,137.5,2,132.04,1,../../simdata-nr=3/alpha_t/TotalDist/00009/8004/condition_2/OmronLab_p=1200_nsim=1_agents=3.mat
1,9,8004,3,2,9,1,62.607,1,../../simdata-nr=3/alpha_t/TotalDist/00009/8004/condition_3/OmronLab_p=1200_nsim=1_agents=3.mat
