strategy,run,pid,condition,succesfulrobot,timesec,succcess,expTime
1,28,8431,2,0,44.5,0,39.059
1,28,8431,3,0,131,0,138.04
1,28,8431,4,2,11,1,39.542
1,29,6801,1,2,31.5,1,139
1,29,6801,2,0,45,0,40.664
1,29,6801,3,3,6.5,1,61.086
1,29,6801,4,2,20.5,1,128.55
1,29,7042,1,2,8.5,1,175.599118942731
1,29,7042,2,0,165.5,2,160.44
1,29,7042,3,2,13,1,108.78
1,29,7042,4,0,67,0,55.058
1,29,8431,1,0,135,0,113.933920704846
1,29,8431,2,0,44.5,0,39.059
1,29,8431,3,0,131,0,138.04
1,29,8431,4,2,7,1,39.542
1,30,2276,1,2,24,1,153.845814977974
1,30,2276,2,0,43.5,0,52.36
1,30,2276,3,0,76,0,70.952
1,30,2276,4,0,164.5,0,16.267
1,30,3088,1,0,186,0,159.149779735683
1,30,3088,2,0,30,0,31.37
1,30,3088,3,3,144,1,153.38
1,30,3088,4,0,102.5,0,7.412
1,30,4774,1,1,112,1,222.84140969163
1,30,4774,2,0,44,0,56.349
1,30,4774,3,2,46.5,1,79.836
1,30,4774,4,0,35,0,25.697
1,31,4399,1,2,168.5,1,188.136563876652
1,31,4399,2,0,51.5,0,46.374
1,31,4399,3,0,55,0,49.501
1,31,4399,4,0,188,0,25.826
1,31,7194,1,2,15,1,97.9162995594714
1,31,7194,2,2,7.5,1,52.19
1,31,7194,3,2,68,1,70.545
1,31,7194,4,0,45.5,0,35.919
1,31,7667,1,2,175,1,180.145374449339
1,31,7667,2,0,67,0,61.519
1,31,7667,3,0,148,0,142.57
1,31,7667,4,3,33.5,1,40.524
1,32,3088,1,2,84.5,1,159.149779735683
1,32,3088,2,0,30,0,31.37
1,32,3088,3,2,150,1,153.38
1,32,3088,4,0,102.5,0,7.412
1,32,4105,1,3,18,1,242.568281938326
1,32,4105,2,0,59.5,0,55.966
1,32,4105,3,0,52,0,48.229
1,32,4105,4,0,167,0,12.582
1,32,8989,1,2,93.5,1,373.95154185022
1,32,8989,2,0,156.5,0,151.39
1,32,8989,3,0,166.5,0,161.14
1,32,8989,4,2,147,1,11.83
1,33,1870,1,2,25,1,196.533039647577
1,33,1870,2,0,68.5,0,63.257
1,33,1870,3,0,147,0,154.28
1,33,1870,4,0,180,0,16.458
1,33,4774,1,2,52,1,222.84140969163
1,33,4774,2,0,44,0,56.349
1,33,4774,3,3,61.5,1,79.836
1,33,4774,4,0,35,0,25.697
1,33,8431,1,0,135,0,113.933920704846
1,33,8431,2,0,44.5,0,39.059
1,33,8431,3,0,131,0,138.04
1,33,8431,4,0,49.5,0,39.542
1,34,2241,1,0,229,0,201.775330396476
1,34,2241,2,0,48.5,0,43.006
1,34,2241,3,0,72,0,66.821
1,34,2241,4,0,26.5,0,18.399
1,34,2276,1,3,103,1,153.845814977974
1,34,2276,2,0,43.5,0,52.36
1,34,2276,3,0,76,0,70.952
1,34,2276,4,0,164.5,0,16.267
1,34,5834,1,2,10.5,1,168.136563876652
1,34,5834,2,3,9.5,1,63.765
1,34,5834,3,3,17,1,83.388
1,34,5834,4,0,157.5,0,47.019
1,35,3907,1,3,20.5,1,245.185022026432
1,35,3907,2,0,86,2,81.143
1,35,3907,3,0,54,0,48.94
1,35,3907,4,0,120.5,0,12.064
1,35,5754,1,0,114,0,95.3436123348018
1,35,5754,2,2,8,1,30.516
1,35,5754,3,0,68.5,0,63.153
1,35,5754,4,2,17,1,33.394
1,35,8521,1,3,23,1,203.590308370044
1,35,8521,2,3,7,1,153.7
1,35,8521,3,0,117,0,111.83
1,35,8521,4,2,9,1,83.497
1,36,1181,1,3,27,1,127.775330396476
1,36,1181,2,0,67,0,61.832
1,36,1181,3,0,62.5,0,78.593
1,36,1181,4,0,40,0,30.482
1,36,3472,1,2,98,1,126.286343612335
